ID	HIT	REPORT
1034380	1	DR. (B) (6) AND (B) (6) REPORTED THAT THE (B) (4) TOOL REPORTS DIFFERENT VALUES (MAX SUV) FOR A SMALL TUMOR DEPENDING ON WHETHER THE PET IS OPENED ALONE OR WHETHER THE PET IS PARTICIPATING IN A FUSION WITH A CT.
1950154	0	SOMARAD DIGITAL X-RAY RADIOGRAPHY SYSTEM WAS IN USE AT THE (B)(6). THE STAND BEGAN TO MOVE BY ITSELF AND THE OPERATOR ACTIVATED THE EMERGENCY OFF SWITCH TO STOP THE MOVEMENT. THERE WAS A PT IN THE VICINITY BUT THE MOVEMENT DID NOT IMPACT THE PT. NO INJURY TO A PT. NO ACCIDENTAL RADIATION EXPOSED. IMIX IS REPORTING THIS INCIDENT AS MANUFACTURER AND SYSTEM INTEGRATOR OF SONORAD DIGITAL RADIOGRAPHY SYSTEM WHICH INTEGRATES IMIX DIGITAL RADIOGRAPHY DETECTOR WITH THE STAND MANUFACTURED BY (B)(4). BASED ON THE PRELIMINARY INVESTIGATION, INITIALLY, IT WAS CONSIDERED AS AN ISOLATED INCIDENT AND AN ERROR BY THE OPERATOR AND THE INVESTIGATIONS DID NOT REVEAL ANY ROOT CAUSE FOR THE PROBLEM. AFTER FURTHER STUDIES AND ENGINEERING EVALUATION OF THE UNIT, IT WAS DETERMINED THAT AN INTERFERENCE INTRODUCED BY THE ELECTRICAL NOISE FROM THE EXTERNAL KEY PAD CONTROL UNIT COULD RESULT IN SUCH A MOVEMENT. ALL OTHER POSSIBLE SCENARIOS WERE RULED OUT. AS A CORRECTIVE ACTION, A FIELD NOTICE WAS ISSUED TO DISCONNECT THE EXTERNAL KEY PAD CONTROL UNIT. THIS DOES NOT HAVE AN EFFECT ON FUNCTIONALITY OR SAFETY OF THE DEVICE. AS A PREVENTIVE ACTION, IMIX IS PLANNING TO INSTALL A COLLISION SENSOR AS AN ADDED SAFETY FEATURE TO AVOID ANY SUCH UNINTENDED MOVEMENT. IMIX'S INTERNAL CORRECTIVE ACTION (B)(4) WILL CONTINUE UNTIL EFFECTIVENESS OF THE CORRECTIVE/ PREVENTIVE ACTION IS CONFIRMED. THIS REPORT IS NOT MEETING THE FDA'S REQUIRED REPORTING TIME FRAME DUE TO THE FACT THE IMIX DID NOT IDENTIFY THIS INCIDENT AS A REPORTABLE EVENT. HOWEVER, AFTER CAREFUL STUDY OF THE EVENT/S, IMIX MANAGEMENT DECIDED TO SEND THIS REPORT TO FDA.
6144295	0	the customer complained that a female operator has got a fractured nose after unintended release of the stretch grip swivel lock (spline mechanism) during stretch grip positioning for the patient.><(b)(4). the investigation is still ongoing on this event. when the investigation is completed a follow-up report will be sent to the fda .                                                              
3553997	1	DELAY IN CARE DUE TO BUG IN SCIMAGE TELERADIOLOGY SOFTWARE, WHICH PREVENTED TIMELY TRANSMISSION OF MULTIPLE STAT RADIOLOGY EXAMS. APPLICATION IS ERRONEOUSLY REJECTING ASSOCIATIONS FROM THE FACILITY PACS DUE TO A LICENSE FILE ISSUE. BUG HAS BEEN REPORTED TO MANUFACTURER MULTIPLE TIMES WITHOUT RESOLUTION.
1584375	0	(B)(4). THIS IS AN INITIAL REPORT. AN INVESTIGATION IS IN PROCESS. A FINAL REPORT WILL BE SUBMITTED WHEN THE INVESTIGATION IS COMPLETE. OTHER: AN INVESTIGATION IS IN PROCESS. >< THE CUSTOMER STATES THAT FALSE POSITIVE RESULTS ARE BEING GENERATED BY THE ARCHITECT STAT TROPONIN-I ASSAY. ONE PATIENT SAMPLE GENERATED RESULTS OF 0.020/0.114/0.023/0.018 NG/ML. THE CUSTOMER USES A CUT-OFF VALUE OF 0.03 NG/ML. NO SUSPECT RESULTS WERE REPORTED FROM THE LAB AND THERE IS NO IMPACT TO PATIENT MANAGEMENT REPORTED.
3813481	0	IT WAS DETERMINED THE RACK TRAY WAS MORE THAN TEN YEARS OLD AND A DESIGN CHANGE OCCURRED IN 2005 TO ROUND THE EDGES OF THE TRAY. THIS WAS COMMUNICATED VIA A SERVICE BULLETIN. THIS WAS THE ONLY COMPLAINT RECEIVED SINCE THE DESIGN CHANGE.><THE CUSTOMER WAS UNLOADING RACKS FROM THE OUTPUT BUFFER MODULE OF THEIR MPA. WHILE REMOVING THE 25 RACK TRAY FROM THE MODULE, HE WAS HOLDING ONTO THE END WITH THE TWO LOCATING PRONGS. HE PUT A TEAR" INTO THE END OF HIS FINGER. HE WENT TO THE A/E TO HAVE IT CLEANED AND GLUED AS IT WAS BLEEDING FREELY. HE THEN WENT TO THE HOSPITAL'S OCCUPATIONAL HEALTH DEPARTMENT TO HAVE A BLOOD SAMPLE TAKEN. THE RESULTS CAME BACK ALL CLEAR. THE FINGER WAS HEALING WELL
1511236	0	CONCLUSIONS: OTHER, A FOLLOW-UP REPORT WILL BE SUBMITTED WHEN THE DEVICE EVALUATION HAS BEEN COMPLETED. >< ROTATOR BROKE DURING ANGIOGRAPHY USING A MICRO CATHETER WHICH OCCURRED TWICE IN A ROW. ACTUAL PRESSURE 920 PSI. (THIS REPORT IS TWO OF TWO FOR REPORTED DEVICE. THE FIRST DEVICE NOTED IN THIS EVENT IS REPORTED ON MDR NUMBER 1721504-2009-00111).
4113188	1	AGFA SUBMITTED MDR REPORT# 1225058-2010-00001 TO THE FDA ON JUNE 7, 2010 FOR A SITE IN THE US. A 7TH OCCURRENCE IS BEING REPORTED FOR THE SAME ISSUE/SAME DEVICE: IMPAX CV RESULTS MANAGEMENT ADMINISTRATION TOOL (RMAT). THE CUSTOMER, THE INITIAL REPORTER, IN THIS NEW EVENT CONTACTED AGFA ON FEBRUARY 14, 2014 AND REPORTED A READING PHYSICIAN HAD DISCOVERED AN INCORRECT STATEMENT IN THE PULMONARY ARTERY FINDINGS WITHIN THEIR RMAT REPORTING. THE CUSTOMER CONFIRMED THERE WERE NO REPORTS OF PATIENT HARM DURING THIS EVENT. THE CUSTOMER STATED NO RMAT CUSTOMIZATION REQUESTS HAD BEEN MADE TO AGFA, AND THE SITE'S SUPER USER HAD NOT MADE ANY CUSTOM CHANGES TO THE PULMONARY ARTERY FINDINGS WITHIN THE REPORTING TOOL, ABIDING BY AGFA'S RMAT TERMS OF USE. THE CUSTOMER DESCRIBED WHEN REPORTS WERE CREATED FOR TRANS ESOPHAGEAL ECHOCARDIOGRAM (TEE), TRANSTHORACIC ECHOCARDIOGRAM (TTE) AND STRESS (STR) STUDIES, AND WHEN THE END-USER SELECTED THE MILD TO MODERATE" RADIO BUTTON IN THE PULMONARY ARTERY PATHOLOGY SECTION
1991991	1	DOCTOR ATTEMPTED TO USE AN ULTRASOUND MACHINE PRIOR TO PERFORMING A STAT C-SECTION ON A PATIENT TO DETERMINE IF THERE WAS A FETAL HEART RATE.  THE MACHINE POWERED ON, BUT DID NOT COMPLETE THE BOOT SEQUENCE IN THE EXPECTED FASHION. THE DEVICE WAS UNPLUGGED AND ANOTHER ATTEMPT WAS MADE, BUT THE PROBLEM PERSISTED. 
1149859	1	DEVICE NOT RETURNED. >< REPORTEDLY, NURSE SPOTTED SPARKS AND SMOKE COMING OUT OF IT. NO PATIENT INJURY REPORTED.
972936	1	DBSS ALLOWS THE ENTRY OF A PHLEBOTOMY TO AN INCORRECT REGISTRATION WHICH PREDATES AN ACTIVE DEFERRAL WITHOUT WARNING.
5350694	0	the product should have been shipped to university of maryland medical but was actually shipped to incorrectly to the home of the integra neurospecialist assigned to that area. the integra neurospecialist took the device to the hospital the following day. oxygen monitoring for this pt was delayed by 24 hours due to the incorrect shipment of device. no pt injury was reported due to this delay. the pt is in stable condition.><the device is not expected to be returned. this incident has been determined to be reportable since pt monitoring and possible treatment may have been delayed due to late shipment.                                                              
6010899	0	an internal biom?rieux investigation concluded the following: the organisms are not present within the bottle when received at the sites, but rather is introduced to the bottle during inoculation at the testing site. the broad range of species and strains recovered indicate the contaminants do not stem from a single source. testing practices or environmental conditions at the testing site are the root causes. the root cause is not within the control of biom?rieux. an info bulletin will be issued to the field that describes the investigation results and reemphasizes the preparation protocol described in the package insert.><a customer reported a discrepant result when using the bact/alert? fn plus culture bottle. the culture bottle flagged positive and was sub-cultured to reveal a bacillus species organism; however, the healthcare professional determined the patient was not infected by that organism. the customer reported there were no signs of contamination, yellow-colored sensors or turbid media present prior to inoculation. when specifically asked, the customer indicated that no death, injury or mistreatment was associated with this issue. biomerieux has initiated an investigation into this issue.><adverse event and life-threatening should not be selected in the previous supplement 1.                                                              
1553296	0	THE CUSTOMER STATES THAT A BURNING SMELL WAS COMING FROM THE CD 3200 SL ANALYZER. THE ANALYZER WAS THEN TURNED OFF AND SERVICE WAS DISPATCHED. THE FSR OBSERVED CHARRING INSIDE THE ANALYZER INCLUDING BOARDS. THE FSR ALSO STATES THAT IT APPEARS BLOOD SPRAYED AND POOLED INSIDE OF THE ANALYZER. NO ACTUAL FIRE WAS OBSERVED AND NO DAMAGE WAS REPORTED OUTSIDE OF THE ANALYZER. THERE WAS NO REPORT OF INJURY OR EXPOSURE REPORTED RELATED TO THIS ISSUE. >< (B)(4). THIS IS AN INITIAL REPORT. AN INVESTIGATION IS IN PROCESS. A FINAL REPORT WILL BE SUBMITTED WHEN THE INVESTIGATION IS COMPLETE.
1282747	0	A TECHNICIAN TRIED TO REMOVE A SAMPLE FROM THE SYSTEM BEFORE IT WAS SAMPLED, WITHOUT THE SYSTEM BEING IN THE READY STATE. THE DPP SAMPLE DILUTION PROBE SWUNG OVER TO ASPIRATE THE SAMPLE AND PUNCTURED THE TECHNICIAN'S HAND, DRAWING BLOOD. THE INJURY THAT THE TECHNICIAN SUSTAINED WAS DUE TO OPERATOR ERROR. THE TECHNICIAN IMMEDIATELY SOUGHT TREATMENT AT THE ER AND FOLLOWED UP WITH EMPLOYEE HEALTH SERVICES. IT IS UNK IF ANY FURTHER TREATMENT WAS PROVIDED. >< THIS EVENT IS BEING REPORTED BECAUSE THE INJURY OCCURRED IN A BIOHAZARDOUS ENVIRONMENT. ANALYSIS OF THE INFO INDICATES THAT THE CAUSE FOR THE INCIDENT WAS DIRECTLY RELATED TO THE FAILURE OF THE USER TO FOLLOW DOCUMENTED PROCEDURES FOR OPERATION OF THE INSTRUMENT. THE INSTRUMENT IS PERFORMING WITHIN SPECIFICATIONS. NO FURTHER EVAL OF THE DEVICE IS REQUIRED.
